sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
pipere,241,NA,0.292785407,-0.057034928,0.174402289,2,5,0.33,0.137542637,NA,49.99518351,0.299910013,2.579423428,2.393316984,1.516281308,1.023135891,0
psycpi,242,NA,NA,-0.436510282,-1.16152006,2,4,0.525,0.081855511,0.00112,41.35760845,0.269975533,2.589064837,NA,0.908675871,NA,0
clidoc,243,NA,NA,-3.342407933,-2.081079385,1,2,0.671,0.170846355,NA,30.96201394,0.274715513,2.168006088,2.114026546,0.91419181,0.920367794,0
bactma,244,NA,NA,NA,NA,NA,NA,NA,0.029561565,2.26604,NA,NA,NA,NA,NA,NA,0
malpro,245,NA,NA,2.011592512,-2.369232935,3,4,0.569,0.051750301,NA,44.07357459,0.228956025,3.749670107,NA,1.451285143,NA,0
pipeca,246,NA,0.491548596,-0.846812784,-0.53240334,1,2,0.383,0.030562193,NA,29.44481906,0.193707356,4.20155828,NA,2.676313482,NA,0
micoaf,247,-14.77735675,0.570413915,-1.619400354,-0.95570602,1,2,0.619,0.198095619,NA,46.24634749,0.310543521,2.02394467,NA,0.642109293,NA,0
pipepe,248,NA,0.487719821,1.977845146,-3.733131444,3,4,0.383,0.043547965,NA,44.11906367,0.243514926,2.392599583,NA,1.004064282,NA,0
neeaam,249,NA,NA,2.280054516,-2.644618574,3,4,0.63,0.050988092,0.0540525,41.69476287,0.184287835,3.514359934,NA,1.118378726,NA,0
randfo,250,NA,NA,0.244621353,0.630613755,2,5,0.636,0.032729011,0.055175,44.50438301,0.313383751,2.9175661,NA,1.010888256,NA,0
xyl2ol,251,2.32282928,NA,-0.11595775,-0.467265014,2,5,0.719,0.055443325,NA,40.20566419,0.293257098,2.57427192,NA,1.325567526,NA,0
ardiba,252,NA,NA,0.384556535,-0.848811775,2,4,0.599,0.087438292,0.045635,82.73769386,0.29343791,1.209058069,NA,0.485611817,NA,#N/A
brosgu,253,NA,0.747710678,0.712370239,0.758790849,2,3,0.844,0.129024907,NA,47.65115756,0.364039053,2.503108211,NA,0.958929722,NA,0
margno,254,NA,0.663259415,-0.661156721,1.16843906,2,3,0.596,0.143040896,NA,48.10069679,0.335902231,2.569350961,2.821450341,1.287954763,1.40979349,0
casegu,255,NA,0.692559465,1.743750275,-0.194962183,3,1,0.755,0.058284153,0.004158333,38.3856547,0.272749393,2.507784075,NA,1.106076414,NA,#N/A
bactc2,256,NA,NA,NA,NA,NA,NA,NA,0,0.086828333,NA,NA,NA,NA,NA,NA,0
psycli,257,NA,0.376676852,0.936230732,-2.3862112,3,4,0.525,0.081726427,0.00939,43.71768937,0.165046673,2.364368675,NA,1.489408782,NA,0
solast,258,NA,0.362340637,-1.302263437,-0.028538366,1,2,0.422,0.161744825,NA,33.49067206,0.248714429,4.070364475,NA,1.11015458,NA,0
psycch,259,NA,0.595102397,-0.011540837,-1.391046454,2,4,0.525,0.074136938,0.013004,42.57136435,0.177735337,1.96466703,NA,0.757584074,NA,0
chimpa,260,NA,0.778364757,-0.748309407,1.776653453,2,3,0.712,0.166063665,NA,49.22454484,0.242300135,2.463778236,2.350140076,1.074119997,0.854406997,0
lozapi,261,NA,0.420686341,-1.741612953,-0.663058073,1,2,0.509,0.033907185,NA,49.22454484,0.228153671,1.58760179,NA,0.634650897,NA,0
conobr,262,NA,NA,-1.415711954,0.033724208,1,2,0.671,0.194805332,NA,41.58237806,0.291109163,1.782117162,NA,0.795936563,NA,#N/A
bertgu,263,NA,NA,NA,NA,NA,NA,NA,0.011212804,NA,NA,NA,NA,NA,NA,NA,#N/A
pit1ru,264,NA,0.676833515,-0.335832076,1.210200268,2,3,0.678,0.045324094,0.378218667,59.84490897,0.411586129,2.661570787,NA,1.011358152,NA,1
cnempe,265,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,#N/A
micoim,266,NA,0.578462557,0.4361513,-0.588742835,2,5,0.747,0.083890038,NA,55.06855473,0.299469395,1.759309765,NA,0.801253557,NA,1
cha1te,267,NA,NA,NA,NA,NA,NA,NA,0.010667836,0.245269375,NA,NA,NA,NA,NA,NA,0
micone,268,NA,0.47632964,-1.651442705,-2.815481624,1,4,0.619,0.120310369,NA,38.81771185,0.328725762,2.208858095,NA,0.914278731,NA,1
lycima,269,NA,NA,NA,NA,NA,NA,NA,NaN,0.0061475,NA,NA,NA,NA,NA,NA,0
pipeim,270,NA,NA,NA,NA,NA,NA,NA,0.039045149,NA,NA,NA,NA,NA,NA,NA,0
protsp,271,NA,NA,0.574600194,0.405663558,2,5,0.576,0.06873784,NA,49.92382808,0.424513449,1.940604266,NA,0.830902577,NA,0
couthe,272,NA,0.612656967,-0.03055177,1.260138437,2,3,0.6,0.041178761,NA,27.81523938,0.220184386,3.290673716,2.216682546,0.894519805,0.718600251,0
appuse,273,NA,NA,0.398404619,-0.161347016,2,5,0.558,0.03394857,NA,26.41042931,0.219538283,3.058669686,NA,1.017006816,NA,0
